episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
192,neuro_dqn,-7241.250042203814,3,10,0.3,429,0,0,500,18.79999999999969,2178,2026-05-22T16:50:25
193,neuro_dqn,-738.8000679500401,6,10,0.6,0,0,0,500,5.759999999999723,2173,2026-05-22T16:50:30
194,neuro_dqn,-599.6000616401434,5,10,0.5,3,0,0,500,29.659999999999435,2488,2026-05-22T16:50:36
195,neuro_dqn,-347.3500468917191,4,10,0.4,0,0,0,500,21.499999999999666,2297,2026-05-22T16:50:41
196,neuro_dqn,-1363.8000627458096,2,10,0.2,0,0,0,500,27.03999999999963,2263,2026-05-22T16:50:46
197,neuro_dqn,-1298.5000108070672,6,10,0.6,61,0,0,500,26.01999999999965,2122,2026-05-22T16:50:52
198,neuro_dqn,-2211.300040911883,4,10,0.4,78,0,0,500,8.319999999999919,1751,2026-05-22T16:50:56
199,neuro_dqn,-149.55005298182368,5,10,0.5,0,2,0,500,19.019999999999452,2246,2026-05-22T16:51:01
0,neuro_dqn,-1563.950070951134,4,10,0.4,27,0,0,500,12.039999999999884,1999,2026-05-22T16:55:24
1,neuro_dqn,-144.00005154684186,5,10,0.5,10,2,0,500,28.919999999999682,2299,2026-05-22T16:55:30
2,neuro_dqn,-757.200064804405,7,10,0.7,35,0,0,500,25.799999999999425,2423,2026-05-22T16:55:36
3,neuro_dqn,-134.30005718767643,6,10,0.6,0,0,0,500,26.239999999999394,2371,2026-05-22T16:55:42
4,neuro_dqn,-990.9000669755042,4,10,0.4,0,0,0,500,20.3599999999997,2387,2026-05-22T16:55:47
5,neuro_dqn,-913.5500662960112,4,10,0.4,0,0,0,500,8.659999999999892,1824,2026-05-22T16:55:52
6,neuro_dqn,-910.7500624209642,4,10,0.4,0,0,0,500,19.83999999999964,2271,2026-05-22T16:55:57
0,dqn,-1873.1500607021153,0,10,0.0,9,0,0,500,20.719999999999768,2271,2026-05-22T16:59:55
1,dqn,-1488.2000520825386,0,10,0.0,0,0,0,500,9.099999999999941,1702,2026-05-22T16:59:58
2,dqn,-1619.800060480833,1,10,0.1,0,0,0,500,4.439999999999845,1890,2026-05-22T17:00:00
3,dqn,-1404.5500455386937,0,10,0.0,0,3,0,500,27.119999999999663,2259,2026-05-22T17:00:04
4,dqn,-1317.2000407502055,0,10,0.0,6,0,0,500,10.479999999999729,1862,2026-05-22T17:00:06
5,dqn,-1485.800048287958,0,10,0.0,0,0,0,500,10.259999999999966,1655,2026-05-22T17:00:09
6,dqn,-1386.900048095733,0,10,0.0,0,1,0,500,17.339999999999858,1886,2026-05-22T17:00:12
7,dqn,-2031.7500714212656,0,10,0.0,1,2,0,500,8.339999999999844,2025,2026-05-22T17:00:15
8,dqn,-2313.1000522449613,0,10,0.0,79,0,0,500,25.919999999999664,2266,2026-05-22T17:00:18
9,dqn,-1563.1000550948083,0,10,0.0,1,0,0,500,58.47999999999977,2377,2026-05-22T17:00:21
10,dqn,-1084.95004221797,0,10,0.0,0,0,0,500,21.59999999999968,2086,2026-05-22T17:00:25
11,dqn,-2559.000010397285,0,10,0.0,54,0,0,500,2.05999999999995,1694,2026-05-22T17:00:27
12,dqn,-2758.100062184036,0,10,0.0,109,0,0,500,46.65999999999959,2463,2026-05-22T17:00:31
13,dqn,-995.5000384487212,1,10,0.1,0,0,0,500,26.29999999999966,2083,2026-05-22T17:00:34
